x,ca0.06,ca0.2,ca1
0.0542005,0.298387,0.274194,0.294355
0.108401,0.346774,0.302419,0.319355
0.162602,0.395161,0.330645,0.344355
0.216802,0.479839,0.358871,0.369355
0.271003,0.568548,0.387097,0.394355
0.325203,0.600806,0.415323,0.419355
0.379404,0.697581,0.4375,0.461694
0.433604,0.715726,0.459677,0.504032
0.487805,0.733871,0.475806,0.520161
0.542005,0.790323,0.491935,0.53629
0.650407,0.824597,0.53629,0.568548
0.704607,0.841734,0.552419,0.633065
0.758808,0.858871,0.568548,0.643817
0.867209,0.875,0.608871,0.665323
0.97561,0.903226,0.631452,0.686828
1.02981,0.915323,0.642742,0.697581
1.08401,0.927419,0.654032,0.700806
1.13821,0.9375,0.665323,0.704032
1.19241,0.947581,0.679839,0.707258
1.35501,0.967742,0.723387,0.716935
1.40921,0.971774,0.737903,0.720161
1.51762,0.979839,0.759409,0.726613
1.57182,0.979839,0.770161,0.729839
1.84282,0.979839,0.800403,0.74552
2.05962,0.979839,0.824597,0.758065
2.11382,0.979839,0.830645,0.760887
2.49322,0.979839,0.846774,0.780645
2.54743,0.979839,0.849294,0.783468
2.60163,0.979839,0.851815,0.78629
2.92683,0.979839,0.866935,0.791129
3.14363,0.979839,0.875,0.794355
3.19783,0.979839,0.875,0.795161
3.41463,0.979839,0.875,0.798387
3.68564,0.979839,0.879032,0.798387
4.01084,0.979839,0.884409,0.798387
4.17344,0.979839,0.887097,0.798387
4.60705,0.979839,0.891129,0.800538
4.98645,0.976703,0.891129,0.802419
5.09485,0.975806,0.891129,0.801267
5.14905,0.976254,0.891129,0.800691
5.58266,0.979839,0.898297,0.796083
5.63686,0.979839,0.899194,0.795507
5.74526,0.979839,0.9,0.794355
6.28726,0.979839,0.904032,0.796595
6.72087,0.979839,0.907258,0.798387
6.88347,0.979839,0.90457,0.798387
7.20867,0.979839,0.899194,0.798387
7.47967,0.979839,0.899194,0.798387
7.58808,0.978943,0.899194,0.798387
7.75068,0.977599,0.899194,0.796964
7.96748,0.975806,0.899194,0.795066
8.29268,0.978006,0.899194,0.79222
8.50949,0.979472,0.90121,0.790323
8.56369,0.979839,0.901714,0.790323
8.72629,0.979839,0.903226,0.790323
9.10569,0.979839,0.899698,0.790323
9.15989,0.979435,0.899194,0.790323
9.6477,0.975806,0.894009,0.790323
9.9187,0.975806,0.891129,0.788978
10.2439,0.975806,0.891129,0.787366
10.4607,0.978111,0.891129,0.78629
10.6233,0.979839,0.890712,0.787298
10.9485,0.979839,0.889878,0.789315
11.1111,0.987903,0.889461,0.790323
11.2195,1.00403,0.889182,0.790323
11.2737,1.02823,0.889043,0.790323
11.3279,1.01613,0.888904,0.790323
11.4363,1.04435,0.888626,0.790323
11.5447,1.02419,0.888348,0.790323
11.5989,1.02016,0.888209,0.790071
11.6531,0.991935,0.88807,0.789819
11.7073,0.919355,0.887931,0.789567
11.8157,0.802419,0.887653,0.789062
11.8699,0.637097,0.887514,0.78881
11.9783,0.504032,0.887236,0.788306
12.0325,0.00403226,0.887097,0.788054
12.0867,0.197581,0.887097,0.787802
12.4119,12.0867,0.887097,0.78629
12.5745,12.0867,0.887097,0.78739
13.0081,12.0867,0.887097,0.790323
13.1165,12.0867,0.887097,0.790323
13.3333,12.0867,0.887097,0.790323
13.6043,12.0867,0.887097,0.790323
13.8753,12.0867,0.887097,0.790323
14.0921,12.0867,0.884409,0.790323
14.2005,12.0867,0.883065,0.789651
14.4173,12.0867,0.302419,0.788306
14.4715,12.0867,0.399194,0.78797
14.5257,12.0867,0.810484,0.787634
14.7425,12.0867,14.5257,0.78629
15.2846,12.0867,14.5257,0.790323
15.8266,12.0867,14.5257,0.790323
16.206,12.0867,14.5257,0.790323
16.6938,12.0867,14.5257,0.78629
17.4526,12.0867,14.5257,0.762097
17.7778,12.0867,14.5257,0.0967742
17.832,12.0867,14.5257,0.290323
17.8862,12.0867,14.5257,0.399194
17.8862,12.0867,14.5257,0.399194
17.9404,12.0867,14.5257,0.491935
17.9404,12.0867,14.5257,0.491935
